smiles,LogS(mol/L),Normalized SMILES,index
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,-2.009578971,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,1
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-1.650108771,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,2
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,-0.215446271,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,3
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,-6.351293718,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,4
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-6.004901049,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,5
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,-5.951732447,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,6
CNCCC=C1c2ccccc2CCc2ccccc21,-5.481058099,CNCCC=C1c2ccccc2CCc2ccccc21,7
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-5.166831559,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,8
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,-5.160314797,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,9
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,-4.799232291,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,10
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,-4.773927166,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,11
CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,-4.499615023,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,12
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,-4.611928196,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,13
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,-4.58096297,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,14
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,-4.451299601,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,15
CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,-4.148650912,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,16
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,-5.82068809,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,17
CCCCCCCCCCCCCCCC(=O)O,-6.806898849,CCCCCCCCCCCCCCCC(=O)O,18
CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,-7.015515881,CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,19
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-6.659340471,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,20
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,-6.651061605,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,21
Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,-3.684435911,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,22
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,-3.766732022,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,23
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-6.690015098,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,24
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.505205619,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,25
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,-3.568605313,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,26
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,-3.869159052,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,27
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,-3.62089009,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,28
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],-3.376023137,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],29
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,-3.356776819,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,30
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,-3.410758245,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,31
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-3.177945395,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,32
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-0.109520454,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,33
Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,-3.245230567,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,34
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-6.323042066,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,35
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,-3.206931836,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,36
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,-6.029759126,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,37
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,-6.029672615,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,38
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-6.355360601,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,39
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,-5.93034291,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,40
COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,-2.983248002,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,41
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-6.019982658,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,42
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,-5.875038304,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,43
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,-5.971037189,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,44
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,-5.951583511,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,45
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,-5.847417778,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,46
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,-2.743134354,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,47
CCCCCCCCCCCCCCCCCC(=O)O,-5.678073134,CCCCCCCCCCCCCCCCCC(=O)O,48
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,-5.885854045,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,49
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,-5.69959942,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,50
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,-2.60975484,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,51
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,-5.630328732,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,52
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,-5.654077873,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,53
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-5.577425103,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,54
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-3.225916998,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,55
NS(=O)(=O)Cc1noc2ccccc12,-2.423708602,NS(=O)(=O)Cc1noc2ccccc12,56
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-5.58188618,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,57
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,-5.50081486,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,58
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-5.580679303,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,59
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-5.635441942,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,60
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,-2.62474173,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,61
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-1.754060586,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,62
CNCCCC1c2ccccc2C=Cc2ccccc21,-5.403544013,CNCCCC1c2ccccc2C=Cc2ccccc21,63
CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,-0.481948151,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,64
CCC1(CC)C(=O)NCC(C)C1=O,-1.202340218,CCC1(CC)C(=O)NCC(C)C1=O,65
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,-1.315727681,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,66
COC(CNC(N)=O)C[Hg]Cl,-1.523509987,COC(CNC(N)=O)C[Hg]Cl,67
O=C(O)c1cccnc1C(=O)O,-1.181632883,O=C(O)c1cccnc1C(=O)O,68
O=C(O)[C@H](O)c1ccccc1,-0.140871565,O=C(O)[C@H](O)c1ccccc1,69
CCCC(CCC)C(=O)O,-2.045056241,CCCC(CCC)C(=O)O,70
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,-2.344478126,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,71
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,-4.271536487,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,72
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-1.301578395,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,73
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,-1.183004532,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,74
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,-5.279482811,C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,75
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.229743004,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,76
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-2.203358144,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,77
CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@H]1CC,-5.284615283,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@H]1CC,78
