smiles,LogS(mol/L),Normalized SMILES,index
[2H]C(Cl)(Cl)Cl,-1.4178,[2H]C(Cl)(Cl)Cl,1
[2H]c1c([2H])c([2H])c2c(c1[2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C2([2H])[2H],-0.85818,[2H]c1c([2H])c([2H])c2c(c1[2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C2([2H])[2H],2
[Ag+].[C-]#N,-6.1267,[Ag+].[C-]#N,3
[Al+3].[Al+3].[Ca+2].[Ca+2].[O-2].[O-2].[O-2].[O-2].[O-2],-6.3306,[Al+3].[Al+3].[Ca+2].[Ca+2].[O-2].[O-2].[O-2].[O-2].[O-2],4
[Al+3].[Al+3].[Co+2].[Co+2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.4011,[Al+3].[Al+3].[Co+2].[Co+2].[O-2].[O-2].[O-2].[O-2].[O-2],5
[Al+3].[Al+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Zn+2].[Zn+2],-7.6235,[Al+3].[Al+3].[O-2].[O-2].[O-2].[O-2].[O-2].[Zn+2].[Zn+2],6
[Al+3].[Cl-].[Cl-].[Cl-],-6.5687,[Al+3].[Cl-].[Cl-].[Cl-],7
[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],-0.11129,[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],8
[Al+3].[F-].[F-].[F-],-4.1999,[Al+3].[F-].[F-].[F-],9
[Al+3].[F-].[F-].[F-].[F-].[F-].[F-].[Li+].[Li+].[Li+],-2.1676,[Al+3].[F-].[F-].[F-].[F-].[F-].[F-].[Li+].[Li+].[Li+],10
[Al+3].[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+],-2.6988,[Al+3].[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+],11
[Al+3].[O-]B([O-])[O-],-6.9334,[Al+3].[O-]B([O-])[O-],12
[Al+3].[O-2].[O-2].[O-2].[Y+3],-4.2145,[Al+3].[O-2].[O-2].[O-2].[Y+3],13
[Al+3].[O-2].[OH-],-5.0252,[Al+3].[O-2].[OH-],14
[As+3].[As+3].[O-2].[O-2].[O-2],-1.0459,[As+3].[As+3].[O-2].[O-2].[O-2],15
[Au+].[C-]#N.[C-]#N.[K+],-0.30421,[Au+].[C-]#N.[C-]#N.[K+],16
[Au+3].[Cl-].[Cl-].[Cl-].[Cl-].[NH4+],0.48895,[Au+3].[Cl-].[Cl-].[Cl-].[Cl-].[NH4+],17
[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.7449,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],18
[Ba+2].[O-][B][O-],-2.3407,[Ba+2].[O-][B][O-],19
[Bi+3].[Bi+3].[O-2].[O-2].[O-2],-5.7779,[Bi+3].[Bi+3].[O-2].[O-2].[O-2],20
[Bi+3].[Bi+3].[S-2].[S-2].[S-2],-9.0983,[Bi+3].[Bi+3].[S-2].[S-2].[S-2],21
[Br-].[Br-].[Zn+2],1.2977,[Br-].[Br-].[Zn+2],22
[Br-].[Br-].c1cc[n+](CC[n+]2ccccc2)cc1,-0.265,[Br-].[Br-].c1cc[n+](CC[n+]2ccccc2)cc1,23
[Br-].[Br-].c1cc[n+](CCC[n+]2ccc3ccccc3c2)cc1,-2.24,[Br-].[Br-].c1cc[n+](CCC[n+]2ccc3ccccc3c2)cc1,24
[Br-].[Br-].c1cc[n+]2c(c1)-c1cccc[n+]1CC2,0.3133,[Br-].[Br-].c1cc[n+]2c(c1)-c1cccc[n+]1CC2,25
